"","word","freq"
"audio","audio",2
"funny","funny",2
"thanks","thanks",2
"everyone","everyone",2
"she’s","she’s",2
"@umuchiukwu:","@umuchiukwu:",2
"biafra…","biafra…",2
"hour","hour",2
"fun","fun",2
"entertainment","entertainment",2
"@omotebiafra:","@omotebiafra:",2
"chinasa","chinasa",2
"group,have","group,have",2
"group.","group.",2
"nworu","nworu",2
"action","action",2
"spray","spray",2
"where","where",2
"etc","etc",2
"hacked","hacked",2
"media","media",2
"social","social",2
"@njimezichidi:","@njimezichidi:",2
"biaf…","biaf…",2
"://t.co/nf11xsvhvw","://t.co/nf11xsvhvw",2
"@joegallinews:","@joegallinews:",2
"al…","al…",2
"episode!","episode!",2
"miss","miss",2
"nwa","nwa",2
"subscribe","subscribe",2
"sure","sure",2
"today!","today!",2
"📺","📺",2
"://t.co/dyujj25m2v","://t.co/dyujj25m2v",2
"keepit100boxing","keepit100boxing",2
"tbe","tbe",2
"://t.co/4kq5c5zdpi","://t.co/4kq5c5zdpi",2
"@teechereaa:","@teechereaa:",2
"favorite","favorite",2
"right","right",2
"🥵","🥵",2
"🌐","🌐",2
"know","know",2
"editing","editing",2
"😭😭😭","😭😭😭",2
"while","while",2
"4.84%","4.84%",2
"6.86%","6.86%",2
"most","most",2
"week","week",2
"week,","week,",2
"life","life",2
"much","much",2
"#tiktok","#tiktok",2
"✅","✅",2
"9.26.2022","9.26.2022",2
"@mewlionsusa:","@mewlionsusa:",2
"here","here",2
"share,","share,",2
"updates","updates",2
"before","before",2
"dirty","dirty",2
"goes","goes",2
"can’t","can’t",2
"://t.…","://t.…",2
"@meta","@meta",2
"@oversightboard","@oversightboard",2
"meme","meme",2
"removed","removed",2
"down","down",2
"facebook,","facebook,",2
"always","always",2
"#savearmenia","#savearmenia",2
"://t.co/pzay7n4dbr","://t.co/pzay7n4dbr",1
"@googlenews","@googlenews",1
"between","between",1
"cnbc","cnbc",1
"easier","easier",1
"makes","makes",1
"switch","switch",1
"😆","😆",1
"@longliveswift22:","@longliveswift22:",1
"fucking","fucking",1
"imagine","imagine",1
"sense","sense",1
"stupidest","stupidest",1
"theory","theory",1
"@aloakhwan:","@aloakhwan:",1
"buy","buy",1
"dress","dress",1
"gаy","gаy",1
"outfits","outfits",1
"pug","pug",1
"ugly","ugly",1
"women","women",1
"@hermesiyele:","@hermesiyele:",1
"for…","for…",1
"!instagram","!instagram",1
"!tiktok","!tiktok",1
"!twitter","!twitter",1
"!youtube","!youtube",1
"2k23","2k23",1
"://t.co/glzkqcsawm","://t.co/glzkqcsawm",1
"://t.co/oo0lhh5jak","://t.co/oo0lhh5jak",1
"best","best",1
"center","center",1
"#content.","#content.",1
"#follow","#follow",1
"#instagram,…","#instagram,…",1
"#socials","#socials",1
"#twitter,","#twitter,",1
"://t.co/v0coov8b1n","://t.co/v0coov8b1n",1
"contains","contains",1
"@barkmeta","@barkmeta",1
"@shillin_villian","@shillin_villian",1
"🤦‍♂️","🤦‍♂️",1
"://t.co/hqvuwqyfpe","://t.co/hqvuwqyfpe",1
"w…","w…",1
"@lastsonofcy","@lastsonofcy",1
"lady","lady",1
"nvm","nvm",1
"#imwithjhud!","#imwithjhud!",1
"#thejenniferhudsonshow","#thejenniferhudsonshow",1
"12pm!","12pm!",1
"@faceb…","@faceb…",1
"@farrisflagg:","@farrisflagg:",1
"@foxla!","@foxla!",1
"@instagram,","@instagram,",1
"@jhudshow","@jhudshow",1
"@twitter,","@twitter,",1
"watching","watching",1
"weekdays","weekdays",1
"#bengals,","#bengals,",1
"#dolphins","#dolphins",1
"@bengaljims_btr:","@bengaljims_btr:",1
"@goldstarchili,","@goldstarchili,",1
"chili","chili",1
"follow…","follow…",1
"partnering","partnering",1
"tix","tix",1
"tnf","tnf",1
"@_danyellb","@_danyellb",1
"day,","day,",1
"enough","enough",1
"showed","showed",1
"why","why",1
"://t.co/t8r01uedou","://t.co/t8r01uedou",1
"@kay_t12","@kay_t12",1
"@metanewsroom","@metanewsroom",1
"circles","circles",1
"offering","offering",1
"only","only",1
"round","round",1
"services","services",1
"take","take",1
"://t.co/gs9bifqrrw","://t.co/gs9bifqrrw",1
"contacting","contacting",1
"fast…","fast…",1
"inbox","inbox",1
"pointless,","pointless,",1
"reply.","reply.",1
"totally","totally",1
"://t.co/hu4qglouvk","://t.co/hu4qglouvk",1
"@eclipsethis2003","@eclipsethis2003",1
"chick","chick",1
"hair","hair",1
"seen","seen",1
"sense.","sense.",1
"s…","s…",1
"#theteambehindyourteam","#theteambehindyourteam",1
"://t.co/1fm3jzsrwu","://t.co/1fm3jzsrwu",1
"building","building",1
"creatively","creatively",1
"disruptive.","disruptive.",1
"dj,","dj,",1
"hi!","hi!",1
"manager","manager",1
"meet","meet",1
"rel…","rel…",1
"strong","strong",1
"😎⁠","😎⁠",1
"://t.co/kymoz2bfle","://t.co/kymoz2bfle",1
"@chuckcallesto","@chuckcallesto",1
"@peacefulconserv","@peacefulconserv",1
"black","black",1
"grou…","grou…",1
"lately","lately",1
"really?","really?",1
"reparations?","reparations?",1
"://t.co/1u6r8ehiab","://t.co/1u6r8ehiab",1
"://t.co/9syjeccelw","://t.co/9syjeccelw",1
"@knwupdate:","@knwupdate:",1
"lips","lips",1
"lipsmagazine","lipsmagazine",1
"magazine","magazine",1
"p…","p…",1
"》fb","》fb",1
"》ig","》ig",1
"💬","💬",1
"#huawei","#huawei",1
"#huaweiappgallery","#huaweiappgallery",1
"://t.co/xuszkdkeu2","://t.co/xuszkdkeu2",1
"@huaweiza","@huaweiza",1
"favourites","favourites",1
"huawei","huawei",1
"@tvasquezz:","@tvasquezz:",1
"bestfriend","bestfriend",1
"leave.","leave.",1
"soooo…","soooo…",1
"treated","treated",1
"treated,","treated,",1
"want","want",1
"way","way",1
"://t.co/bdkjituxsg","://t.co/bdkjituxsg",1
"@kais2com:","@kais2com:",1
"channel","channel",1
"cut","cut",1
"instagram…","instagram…",1
"kai","kai",1
"movie","movie",1
"timetable","timetable",1
"ver.","ver.",1
"waterbomb","waterbomb",1
"waterbomb_official","waterbomb_official",1
"🔗","🔗",1
"drained","drained",1
"head.","head.",1
"me”","me”",1
"mmm","mmm",1
"playing","playing",1
"repeat","repeat",1
"sound","sound",1
"today","today",1
"“mm","“mm",1
"://t.co/mf4xqjdnhi","://t.co/mf4xqjdnhi",1
"end","end",1
"i’ll","i’ll",1
"let’s","let’s",1
"likes","likes",1
"me🥺","me🥺",1
"pray","pray",1
"ti…","ti…",1
"“babeeeee,","“babeeeee,",1
"car","car",1
"fixed","fixed",1
"frk","frk",1
"snk","snk",1
"💀","💀",1
"everywhere","everywhere",1
"instagram,tiktok,youtube.","instagram,tiktok,youtube.",1
"popping","popping",1
"👌👌👌🔥","👌👌👌🔥",1
"://t.co/0s6dm68vnj","://t.co/0s6dm68vnj",1
"://t.co/ikqspywxsb…","://t.co/ikqspywxsb…",1
"://t.co/mktexvtlgn","://t.co/mktexvtlgn",1
"@orihfir","@orihfir",1
"#dhhsc","#dhhsc",1
"#paymentplan","#paymentplan",1
"#valleydeaffestival","#valleydeaffestival",1
"#vdf2022","#vdf2022",1
"#vdftickets","#vdftickets",1
"*still","*still",1
"://t.co/iqm5vnuv8t","://t.co/iqm5vnuv8t",1
"accepting","accepting",1
"monthly","monthly",1
"payments","payments",1
"ticket(s)*…","ticket(s)*…",1
"vdf","vdf",1
"booster","booster",1
"listened","listened",1
"mood","mood",1
"through","through",1
"vid","vid",1
"whole","whole",1
"👁👄👁👌🏽","👁👄👁👌🏽",1
"book","book",1
"club","club",1
"read","read",1
"say","say",1
"://t.co/4cyjmhampv","://t.co/4cyjmhampv",1
"@drunkenfix","@drunkenfix",1
"@jubilationsart:","@jubilationsart:",1
"altering","altering",1
"and…","and…",1
"art","art",1
"artists","artists",1
"custom","custom",1
"legit","legit",1
"remove","remove",1
"robbing","robbing",1
"signatures","signatures",1
"woww.","woww.",1
"://t.co/35cf0wjh6k","://t.co/35cf0wjh6k",1
"://t.co/qqssqc14dn","://t.co/qqssqc14dn",1
"county,","county,",1
"suffolk","suffolk",1
"york","york",1
"better","better",1
"idc","idc",1
"#daryldixon's","#daryldixon's",1
"#thewalkingdead","#thewalkingdead",1
"://t.co/sefec0k13m","://t.co/sefec0k13m",1
"@walkingdead_amc","@walkingdead_amc",1
"@wwwbigbaldhead","@wwwbigbaldhead",1
"@zainegancaryl","@zainegancaryl",1
"friend:","friend:",1
"off…","off…",1
"photo","photo",1
"spin","spin",1
"back…","back…",1
"guys…","guys…",1
"angela","angela",1
"clown","clown",1
"find","find",1
"goofiness","goofiness",1
"pretty","pretty",1
"sexy😂","sexy😂",1
"simmons","simmons",1
"some","some",1
"trying","trying",1
"already","already",1
"consuming","consuming",1
"instead","instead",1
"://t.co/foxfx7amry","://t.co/foxfx7amry",1
"backed","backed",1
"china","china",1
"finally","finally",1
"tok?","tok?",1
"577","577",1
"5mins","5mins",1
"cat","cat",1
"viewed","viewed",1
"within","within",1
"😒","😒",1
"#follow…","#follow…",1
"#like","#like",1
"://t.co/bvzx51zja9","://t.co/bvzx51zja9",1
"instagram@hey_i_am_2kay28","instagram@hey_i_am_2kay28",1
"♊#2kay28","♊#2kay28",1
"@marcylaycelle:","@marcylaycelle:",1
"by:","by:",1
"entries","entries",1
"giveaway","giveaway",1
"hello","hello",1
"multiple","multiple",1
"selected","selected",1
"tulip","tulip",1
"wreath.","wreath.",1
"💜follow","💜follow",1
"://t.co/uxa2vy0fdv","://t.co/uxa2vy0fdv",1
"allowed","allowed",1
"away","away",1
"fact","fact",1
"fascinated","fascinated",1
"j…","j…",1
"limits.","limits.",1
"off","off",1
"taken","taken",1
"://t.co/jar3of2ddp","://t.co/jar3of2ddp",1
"believe","believe",1
"can't","can't",1
"instagram?","instagram?",1
"luck!","luck!",1
"#supportsmallstreamers","#supportsmallstreamers",1
"#twitch","#twitch",1
"#twitchstreamer","#twitchstreamer",1
"#twitchtv…","#twitchtv…",1
"#twitter","#twitter",1
"#video","#video",1
"@syned_gaming:","@syned_gaming:",1
"farming","farming",1
"headshot","headshot",1
"part","part",1
"sws-10","sws-10",1
"://t.co/fp1sx7v7xq","://t.co/fp1sx7v7xq",1
"drop","drop",1
"non-apex","non-apex",1
"💋","💋",1
"😌","😌",1
"amazon","amazon",1
"cargo","cargo",1
"cute","cute",1
"finds.","finds.",1
"girlies","girlies",1
"good","good",1
"onto","onto",1
"pants","pants",1
"putting","putting",1
"saur","saur",1
"@zxpriel:","@zxpriel:",1
"catching","catching",1
"majority","majority",1
"niggas","niggas",1
"scammers","scammers",1
"side","side",1
"starting","starting",1
"sum","sum",1
"think","think",1
"“brands”","“brands”",1
"://t.co/dlm1rd68bl","://t.co/dlm1rd68bl",1
"also","also",1
"app","app",1
"fan","fan",1
"instagram.","instagram.",1
"join","join",1
"name","name",1
"album","album",1
"dissapointed","dissapointed",1
"pull","pull",1
"those","those",1
"tired","tired",1
"txt","txt",1
"annotating","annotating",1
"articles","articles",1
"five","five",1
"nothing","nothing",1
"printed","printed",1
"@winebeyond:","@winebeyond:",1
"ashburn!","ashburn!",1
"bill","bill",1
"blender,","blender,",1
"calgary","calgary",1
"creek","creek",1
"exclusive","exclusive",1
"follo…","follo…",1
"forty","forty",1
"led","led",1
"master","master",1
"tasting","tasting",1
"tickets","tickets",1
"whisky","whisky",1
"📣","📣",1
"🥃","🥃",1
"://t.co/u1q9obtbil","://t.co/u1q9obtbil",1
"aka","aka",1
"almost","almost",1
"boy","boy",1
"bruh","bruh",1
"burna","burna",1
"caree…","caree…",1
"killed","killed",1
"stint","stint",1
"🤣🤣","🤣🤣",1
"@ap92x","@ap92x",1
"@ashh_k21","@ashh_k21",1
"@ashh_k21:","@ashh_k21:",1
"@azix103","@azix103",1
"@s…","@s…",1
"✔️🥦,%🍝”%","✔️🥦,%🍝”%",1
"@khg_82","@khg_82",1
"own","own",1
"seconds","seconds",1
"use","use",1
"brands","brands",1
"comedy/meme","comedy/meme",1
"stop","stop",1
"thinking","thinking",1
"tok,","tok,",1
"trends","trends",1
"working","working",1
"😬","😬",1
"@lisajemide:","@lisajemide:",1
"again","again",1
"break","break",1
"deal","deal",1
"energy","energy",1
"everyday","everyday",1
"feminine","feminine",1
"pls","pls",1
"tap","tap",1
"tok…","tok…",1
"up/","up/",1
"""us""","""us""",1
"@azmilitary1","@azmilitary1",1
"az,","az,",1
"controlled","controlled",1
"empire.","empire.",1
"hei","hei",1
"helping","helping",1
"opposition","opposition",1
"understand","understand",1
"😂","😂",1
"#facebook:","#facebook:",1
"#instagram:","#instagram:",1
"://t.co/a3seuu3foc","://t.co/a3seuu3foc",1
"://t.co/qxmonjxdep","://t.co/qxmonjxdep",1
"://t.co/xyiocjihp0","://t.co/xyiocjihp0",1
"channe…","channe…",1
"://t.co/buln9p3xwa","://t.co/buln9p3xwa",1
"@joejonas","@joejonas",1
"correction","correction",1
"future","future",1
"i…","i…",1
"reels,","reels,",1
"september","september",1
"vision","vision",1
"“the","“the",1
"@ceculturenight","@ceculturenight",1
"@experienceennis:","@experienceennis:",1
"came","came",1
"enjoy","enjoy",1
"friday,","friday,",1
"gem!","gem!",1
"happen","happen",1
"true","true",1
"://t.co/wdbf8norjz","://t.co/wdbf8norjz",1
"@_nicolenonya","@_nicolenonya",1
"@az_brittney","@az_brittney",1
"@jeannethequeen1","@jeannethequeen1",1
"@kissingtheroach","@kissingtheroach",1
"@longjacket2","@longjacket2",1
"@thirdculturemum","@thirdculturemum",1
"@willmeyerpa","@willmeyerpa",1
"rea…","rea…",1
"@mapj2…","@mapj2…",1
"@q_261","@q_261",1
"@s_bj512💯","@s_bj512💯",1
"@progresswiszy:","@progresswiszy:",1
"bia…","bia…",1
"@mapj21","@mapj21",1
"@cau7ion:","@cau7ion:",1
"hear","hear",1
"idk","idk",1
"needs","needs",1
"n…","n…",1
"reason","reason",1
"streams","streams",1
"“grinding”","“grinding”",1
"@amcmbchiefs","@amcmbchiefs",1
"@cee_…","@cee_…",1
"@shelleyacook:","@shelleyacook:",1
"@winnipegnews","@winnipegnews",1
"column","column",1
"cool,","cool,",1
"included","included",1
"pic","pic",1
"shared","shared",1
"super","super",1
"today—","today—",1
"://t.co/qewlmi9593","://t.co/qewlmi9593",1
"cd/vinyl","cd/vinyl",1
"clock,","clock,",1
"collectible","collectible",1
"cool","cool",1
"fun!!","fun!!",1
"rollout?","rollout?",1
"wrong","wrong",1
"@xomilaharper","@xomilaharper",1
"completely","completely",1
"different","different",1
"tone","tone",1
"@tyierrag:","@tyierrag:",1
"funny.!😭😭😭😭","funny.!😭😭😭😭",1
"ppl","ppl",1
"stg","stg",1
"://t.co/pmzfwobtkw","://t.co/pmzfwobtkw",1
"@alaricaloor:","@alaricaloor:",1
"@drjdroogha…","@drjdroogha…",1
"@hessiejones","@hessiejones",1
"@miad","@miad",1
"@psb_dc","@psb_dc",1
"@roxananasoi","@roxananasoi",1
"against","against",1
"class","class",1
"lawsuit","lawsuit",1
"👇🏾","👇🏾",1
"://t.co/gjqmtf5gk1","://t.co/gjqmtf5gk1",1
"fav","fav",1
"item”","item”",1
"paint","paint",1
"pain…","pain…",1
"“buy","“buy",1
"…","…",1
"user_lacking","user_lacking",1
"://t.co/5fmqfwcqex","://t.co/5fmqfwcqex",1
"link:://t.co/lrnwj8dbtl","link:://t.co/lrnwj8dbtl",1
"link:://t.co/uuk6bz13kk","link:://t.co/uuk6bz13kk",1
"link:…","link:…",1
"telegram","telegram",1
"://t.co/vdefeobeas","://t.co/vdefeobeas",1
"alot","alot",1
"helped","helped",1
"lost/","lost/",1
"wallets","wallets",1
"your…","your…",1
"://t.co/83b90qb69f","://t.co/83b90qb69f",1
"highly","highly",1
"native","native",1
"planner","planner",1
"recommend","recommend",1
"scheduling","scheduling",1
"there,","there,",1
"tools","tools",1
"whil(e)","whil(e)",1
"bereal","bereal",1
"feature","feature",1
"now????","now????",1
"#kimseonho","#kimseonho",1
"#️⃣preferredvideo","#️⃣preferredvideo",1
"220925","220925",1
"://t.co/2s2mfeowhy","://t.co/2s2mfeowhy",1
"@seonho_myhihyu:","@seonho_myhihyu:",1
"acted","acted",1
"actor","actor",1
"joe","joe",1
"kimsda","kimsda",1
"simpson,","simpson,",1
"update:","update:",1
"we…","we…",1
"whom","whom",1
"@keepit100boxin2:","@keepit100boxin2:",1
"(together","(together",1
"cheese","cheese",1
"cream","cream",1
"grip","grip",1
"hidden","hidden",1
"insane","insane",1
"packets","packets",1
"ranch","ranch",1
"seasoning","seasoning",1
"separate)","separate)",1
"valley","valley",1
"white","white",1
"@davenewworld_2","@davenewworld_2",1
"bear","bear",1
"harassed","harassed",1
"karen.","karen.",1
"male","male",1
"waiting","waiting",1
"://t.co/kdxhvgdxap","://t.co/kdxhvgdxap",1
"://t.co/lov67ybs2y","://t.co/lov67ybs2y",1
"://t.co…","://t.co…",1
"@estudio_dlc:","@estudio_dlc:",1
"info@estudio-dlc.com📍nordelta","info@estudio-dlc.com📍nordelta",1
"online","online",1
"servicios","servicios",1
"✉️","✉️",1
"📍c.a.b.a.","📍c.a.b.a.",1
"gifts","gifts",1
"love","love",1
"mean","mean",1
"sending","sending",1
"finished","finished",1
"gonna","gonna",1
"gooodddd","gooodddd",1
"halloween","halloween",1
"tew","tew",1
"://t.co/5lic8seigo","://t.co/5lic8seigo",1
"@usman__haruna","@usman__haruna",1
"aero","aero",1
"again,","again,",1
"ask","ask",1
"handle,","handle,",1
"later","later",1
"person","person",1
"plane,","plane,",1
"suppose","suppose",1
"won","won",1
"2…","2…",1
"@sophdoeslife:","@sophdoeslife:",1
"announcements,","announcements,",1
"births","births",1
"engagements","engagements",1
"feeds","feeds",1
"joke","joke",1
"past","past",1
"pregnancy","pregnancy",1
"@callumtfftt","@callumtfftt",1
"@fierybreadman","@fierybreadman",1
"ago.","ago.",1
"bro","bro",1
"cuz","cuz",1
"followed","followed",1
"goddam","goddam",1
"known","known",1
"you?","you?",1
"30+","30+",1
"://t.co/03mgomxxk6","://t.co/03mgomxxk6",1
"crazy","crazy",1
"gets","gets",1
"probably…","probably…",1
"released","released",1
"years","years",1
"@sibokaur:","@sibokaur:",1
"celebri…","celebri…",1
"highest","highest",1
"://t.co/pk36uni38u","://t.co/pk36uni38u",1
"@aginnt","@aginnt",1
"@tonyp12490831","@tonyp12490831",1
"@troyttod","@troyttod",1
"business","business",1
"hollywood","hollywood",1
"look","look",1
"model","model",1
"m…","m…",1
"works.","works.",1
"@antoo_ovalle","@antoo_ovalle",1
"@yellow_stone3:","@yellow_stone3:",1
"amazing","amazing",1
"cow","cow",1
"fuking","fuking",1
"hate","hate",1
"love…","love…",1
"sucks","sucks",1
"tiny","tiny",1
"✨","✨",1
"✨omg","✨omg",1
"://t.co/ghsbxw4r2p","://t.co/ghsbxw4r2p",1
"an…","an…",1
"guy","guy",1
"hard","hard",1
"him","him",1
"husband","husband",1
"loves","loves",1
"sometimes","sometimes",1
"tell","tell",1
"too","too",1
"wife","wife",1
"@megantroy7:","@megantroy7:",1
"day","day",1
"every","every",1
"fann(e)dom.","fann(e)dom.",1
"gentleman","gentleman",1
"jack","jack",1
"word","word",1
"@naazkijaan:","@naazkijaan:",1
"cele…","cele…",1
"-&gt;","-&gt;",1
"://t.c…","://t.c…",1
"@doll_vt:","@doll_vt:",1
"badly","badly",1
"come","come",1
"games","games",1
"here,","here,",1
"hot","hot",1
"late","late",1
"play","play",1
"schedule,","schedule,",1
"sorry","sorry",1
"twitch","twitch",1
"video","video",1
"watch","watch",1
"week!","week!",1
"#dbd","#dbd",1
"#deadbydaylgiht","#deadbydaylgiht",1
"#funny","#funny",1
"#ins…","#ins…",1
"#pcgaming","#pcgaming",1
"@grayfrequency:","@grayfrequency:",1
"huntress","huntress",1
"memes","memes",1
"survivor","survivor",1
"✅#deadbydaylight","✅#deadbydaylight",1
"metro.society","metro.society",1
"metrosociety","metrosociety",1
"➡️://t.co/aeedaadpi9","➡️://t.co/aeedaadpi9",1
"➡️:/…","➡️:/…",1
"@thesun","@thesun",1
"car.","car.",1
"jail","jail",1
"propagandist","propagandist",1
"sun","sun",1
"thing","thing",1
"@deaccolin","@deaccolin",1
"chat”","chat”",1
"dope","dope",1
"proximity","proximity",1
"shits","shits",1
"“mw2","“mw2",1
"😂😂","😂😂",1
"://t.co/yctjtcitxe","://t.co/yctjtcitxe",1
"ariana","ariana",1
"clear","clear",1
"full","full",1
"grande","grande",1
"i’ve","i’ve",1
"lavender","lavender",1
"split","split",1
"vinyl","vinyl",1
"watched","watched",1
"#alexa","#alexa",1
"#echo","#echo",1
"#global","#global",1
"#instagram","#instagram",1
"#nowplaying","#nowplaying",1
"#scotland","#scotland",1
"#streema","#streema",1
"#twitter…","#twitter…",1
"#uk","#uk",1
"://t.co/ryzw30vqg7","://t.co/ryzw30vqg7",1
"mint_01","mint_01",1
"mintwave","mintwave",1
"@kasscib","@kasscib",1
"beat","beat",1
"breakfast","breakfast",1
"hotel","hotel",1
"life.","life.",1
"omg","omg",1
"this.","this.",1
"09.18~09.24","09.18~09.24",1
"://t.co/ij4kev2lkp","://t.co/ij4kev2lkp",1
"@nctdreamrecords:","@nctdreamrecords:",1
"@nctsmtown_dream","@nctsmtown_dream",1
"growth","growth",1
"spotify","spotify",1
"://t.co/fj3war7skp","://t.co/fj3war7skp",1
"ch7hd","ch7hd",1
"ch7hd_entertainment","ch7hd_entertainment",1
