,text,result,scores
0,RT @LittleBirbMame: @aungaung1124 ตอบให้ตรงคำถามก่อนค่ะว่าทำไมไม่เคารพสิทธิ์เด็ก Unicef ประกาศแล้วนะคะว่า Privacy เป็นสิทธิที่เด็กควรมี,Neutral,100.0
1,RT @LittleBirbMame: @yamyummy ประทับใจความดักดานมาก Unicef UN บอกว่าพ่อแม่มีหน้าที่ที่จะปกป้อง Privacy ของลูก ส่วนดาราไทยละเมิด Privacy ลูก…,Neutral,100.0
2,"RT @angel_packsss: 🎉PROMOÇÕES QUE ESTÃO ROLANDO🎉:

pack masturbacão: 10 reais 

PRIVACY (+95 midias): 20 reais

avaliação de texto: 15 reai…",Neutral,100.0
3,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",Positive,44.7
4,"RT @sapph7c: Hawaii is an island with even smaller population than Qatar but when taehyung went there, nobody leaked pictures of him. he we…",Negative,11.4
5,RT @LittleBirbMame: @yamyummy ประทับใจความดักดานมาก Unicef UN บอกว่าพ่อแม่มีหน้าที่ที่จะปกป้อง Privacy ของลูก ส่วนดาราไทยละเมิด Privacy ลูก…,Neutral,100.0
6,RT @LittleBirbMame: คนที่สนับสนุนให้ทำแบบนี้คืออะไรอ่ะ เป็นการละเมิด Privacy ของมนุษย์คนนึง เอาชีวิตเค้ามาโชว์ให้ทุกคนดูแบบไม่ได้ขอ Consent…,Neutral,100.0
7,"RT @fvckkmiku: 🧡 ULTIMO DIA DO MEU PRIVACY POR R$12,90!!!!!🧡

🧡 ULTIMO DIA DO MEU PRIVACY POR R$12,90!!!!!🧡

🧡 ULTIMO DIA DO MEU PRIVACY PO…",Neutral,100.0
8,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",Positive,44.7
9,"@sallygoneawalki I would guess that it would depend upon which state you live in. My Governor, @GovJanetMills would support your right to privacy. 
#mepolitics #MillsforME #VoteBlue2022",Positive,10.1
10,RT @LittleBirbMame: คนที่สนับสนุนให้ทำแบบนี้คืออะไรอ่ะ เป็นการละเมิด Privacy ของมนุษย์คนนึง เอาชีวิตเค้ามาโชว์ให้ทุกคนดูแบบไม่ได้ขอ Consent…,Neutral,100.0
11,"@myaccessbank @access_more  I made this complaint and how it affected my life but you choose to ignore that you infringed on my privacy which its one of your policy to uphold. 
I need to know the staff that did that and why. @officialEFCC",Negative,14.2
12,RT @princess_adraud: Já foram conferir essa rana gostosa no meu privacy? https://t.co/Rten5XHkcS,Negative,16.7
13,Wild koda?? sign me up 0_0 @xLucasPascual @theycallmeCAD @_arkashi @kurtfrenier @Jonnymban @RainHeartWisdom @Z_u_l_u_i_n_k @liquidx @ZavenAslanian @Privacy_Power https://t.co/hjouqPy3np,Neutral,100.0
14,"RT @demahomhemad: @CNN Artificial Intelligence at Any Cost Is a Recipe for Tyranny
https://t.co/KZE9RxiHOQ
Via @aclu",Positive,18.1
15,"RT @yasminbackupp: Subscribe to my platforms to see my daily content, everything as if it were for you!

OnlyFans e Privacy 🇧🇷

Vem me ver,…",Neutral,100.0
16,"RT @AnnaBrennet: Quartou amores 🌼
• Privacy atualizado com novo Pack Scat +10 min 🥵 novos assinantes ganham 15 min de chamada 🎥
• 3 Packs R…",Neutral,100.0
17,RT @glennkirschner2: Poor Justice Alito. He’s  bellyaching about how hard it was on HIM when his draft opinion revoking women’s constitutio…,Neutral,69.5
18,"Had to do a Teams call today with a vendor. Teams won't run in a Brave browser unless I turn off all of the privacy settings.

I feel like I can picture the exact leader in Teams who thinks this is cool.",Positive,11.8
19,"RT @yasmiiiin27: Escapou. 😮‍💨 

Mídias assim, no meu VIP, Onlyfans e Privacy. 

Vem me ver toda putinha, vem. 😈👍🏻 https://t.co/ClD9dDFuNu",Positive,17.4
20,"RT @joarretado: 137 posts; 547 photos; 326 videos, 161 likes, no editing! 🤑
🔗https://t.co/qsdPKtEYVo…
🔗https://t.co/QbK2CZKk7C
🔗https://t.c…",Positive,16.9
