,edit_history_tweet_ids,lang,created_at,text,id,author_id
0,['1597702943347728385'],en,2022-11-29T21:24:00.000Z,A more memorable connection is one that respects consumer privacy and unfolds in the right moment. Our audience targeting and contextual solutions do just that.,1597702943347728385,17470121
1,['1597702691781746690'],en,2022-11-29T21:23:00.000Z,A more memorable connection is one that respects consumer privacy and unfolds in the right moment. Our audience targeting and contextual solutions do just that.,1597702691781746690,17470121
2,['1597701197108228096'],en,2022-11-29T21:17:03.000Z,"RT @OkeyMor57: @jay_scherrer @muskQu0tes @elonmusk Elon Musk is challenging Donald Trump to the title of the most shameless liar. 
Apple do…",1597701197108228096,1518769827560665089
3,['1597700541911822339'],en,2022-11-29T21:14:27.000Z,"@jay_scherrer @muskQu0tes @elonmusk Elon Musk is challenging Donald Trump to the title of the most shameless liar. 
Apple does not have a search engine. It exerts control over its echo system to protect its consumer privacy and security.",1597700541911822339,15720875
4,['1597689648696143872'],en,2022-11-29T20:31:10.000Z,"@DanKnightMMA Dear Dan - you seem like an engaged Canadian but have not read the Bill. Please do, then explain how modernizing our consumer privacy laws is bad for Canadians. Thanks. Here you go. #BillC11 #cdnpoli 

https://t.co/ZF1ifvzDb3",1597689648696143872,39512124
5,['1597687547337084929'],en,2022-11-29T20:22:49.000Z,"Check out our latest article, What Does the Consumer Privacy Protection Act Mean for Microsoft Customers, and learn the steps your organization needs to take to prepare for the proposed CPPA:
https://t.co/IiXenDPOLq",1597687547337084929,823517282257268737
6,['1597670781248569346'],en,2022-11-29T19:16:12.000Z,U.S. State Consumer Privacy Laws – a short 5-min training course that discusses the similarities and differences between the new state privacy laws being passed since 2018 https://t.co/1yefNorRtd @DanielSolove,1597670781248569346,307556373
7,['1597669824494460929'],en,2022-11-29T19:12:24.000Z,@elonmusk @DavidSacks Apple isn’t the worst with consumer privacy but their actions with Twitter regarding Elons takeover are indicative of activists in control at Apple.,1597669824494460929,1480022960727629824
8,['1597643938432573441'],en,2022-11-29T17:29:32.000Z,RT @kuriharan: Learn out. CONSUMER PRIVACY PREDICTIONS—HOW MARKETERS WILL BE AFFECTED IN 2023 https://t.co/DqWLRqolsM #tech #digital #data…,1597643938432573441,2646334171
9,['1597640665722421248'],en,2022-11-29T17:16:32.000Z,@CarloDiLorenzo1 We need consumer privacy protection in the US. These companies buy and sell our data! California has a California Consumer Privacy Protection law. This needs to be Federal law.,1597640665722421248,38883071
