,text,neg,neu,pos,compound
56,RT @gst24cm: Cliente queria comprar camisinha cheia de porra 😏 então eu caprichei pra ele haha 🥵🍆💦 muita porra pro meu putinho… 🔞 mais cont…,0.078,0.82,0.103,0.9919
57,RT @LittleBirbMame: @yamyummy ประทับใจความดักดานมาก Unicef UN บอกว่าพ่อแม่มีหน้าที่ที่จะปกป้อง Privacy ของลูก ส่วนดาราไทยละเมิด Privacy ลูก…,0.077,0.821,0.102,0.9919
58,RT @LittleBirbMame: @aungaung1124 ตอบให้ตรงคำถามก่อนค่ะว่าทำไมไม่เคารพสิทธิ์เด็ก Unicef ประกาศแล้วนะคะว่า Privacy เป็นสิทธิที่เด็กควรมี,0.076,0.823,0.101,0.9919
59,"RT @DenbrotS: @JoyceWhiteVance The Dominionist rejected The Constitution for feelings of grandeur. Four others joined with Alito.
It’s his…",0.078,0.819,0.103,0.992
60,RT @speliviaaa: I feel like I’m invading their privacy on almost all their scenes 😭,0.077,0.819,0.104,0.9931
61,RT @glennkirschner2: Poor Justice Alito. He’s  bellyaching about how hard it was on HIM when his draft opinion revoking women’s constitutio…,0.08,0.814,0.105,0.993
62,"RT @seuvitao: Vídeo completo no privacy 

https://t.co/IVniMuomtC

🔥🔥🔥🔥🔥 https://t.co/uIGDBqUtjK",0.082,0.814,0.104,0.9922
63,RT @Iamluannax: Completo no privacy 🫣🤤 https://t.co/qAIEqCb31q,0.083,0.813,0.104,0.9912
64,"RT @Adilson_santos9: Gozou gostoso levando uma mamada nas bolas💦💦 tomei todo leitinho😋🔥

@Neguinhteusonho 

https://t.co/lEPZShPKGh

Onlyfa…",0.082,0.815,0.103,0.9912
65,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",0.083,0.809,0.108,0.9941
66,"RT @novinhoug: Quem quer vir tirar minha bermuda assim também? 😏🥵

Perfil novo no privacy: https://t.co/ufUV5jJLHO 

Assinem e vejam esse e…",0.084,0.81,0.107,0.9935
67,RT @glennkirschner2: Poor Justice Alito. He’s  bellyaching about how hard it was on HIM when his draft opinion revoking women’s constitutio…,0.086,0.806,0.108,0.9934
68,https://t.co/xSKIyZFpYW,0.086,0.806,0.108,0.9934
69,RT @SabraMBoyd: Prioritizing safety over privacy was repeatedly emphasized. Amazon and Ring presenters celebrated giving police video foota…,0.084,0.8,0.116,0.996
70,RT @glennkirschner2: Poor Justice Alito. He’s  bellyaching about how hard it was on HIM when his draft opinion revoking women’s constitutio…,0.087,0.797,0.116,0.996
71,"RT @javerias: I lost friend, husband and my favourite journalist @arsched today, as per police he was shot in Kenya.
Respect our privacy an…",0.087,0.793,0.12,0.9967
72,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",0.087,0.788,0.125,0.9975
73,@a_j_u_z Whatsapp privacy settingisil,0.087,0.789,0.124,0.9975
74,RT @LittleBirbMame: คนที่สนับสนุนให้ทำแบบนี้คืออะไรอ่ะ เป็นการละเมิด Privacy ของมนุษย์คนนึง เอาชีวิตเค้ามาโชว์ให้ทุกคนดูแบบไม่ได้ขอ Consent…,0.086,0.79,0.124,0.9975
75,RT @bblivery: ดาราไทยส่วนใหญ่มันเคยสนใจ privacy เด็กซะที่ไหนอะ ยกเคสปุ้มปุ้ยปกป้องสิทธิลูกแทบตาย คนไทยรุมด่า พอเป็นบีมเปิดหน้าลูกให้ดูตั้งแ…,0.086,0.791,0.123,0.9975
76,RT @TheGiaMilana: It’s been a minute. 😇 just wanted to check in and say hi! 🙈 I’ve been great! Actually experiencing joy regularly again. 🥰…,0.084,0.788,0.128,0.9981
77,"RT @JohnMagrinho: Kero socar um Cu
Fazer de Buceta
Bater o leite até espumar
Quem se habilita?
😈🍆💦

Assista Meus Vídeos Completos
100% #BAR…",0.083,0.791,0.126,0.9981
78,RT @bblivery: ดาราไทยส่วนใหญ่มันเคยสนใจ privacy เด็กซะที่ไหนอะ ยกเคสปุ้มปุ้ยปกป้องสิทธิลูกแทบตาย คนไทยรุมด่า พอเป็นบีมเปิดหน้าลูกให้ดูตั้งแ…,0.082,0.792,0.125,0.9981
79,"RT @sapph7c: Hawaii is an island with even smaller population than Qatar but when taehyung went there, nobody leaked pictures of him. he we…",0.083,0.794,0.123,0.998
80,"@HillaryJane35 we’re literally just asking people to respect his privacy &amp; personal space, those are basic fucking human rights, y’all really forget idols are humans too &amp; its sad",0.085,0.792,0.123,0.9979
81,"RT @JohnMagrinho: Macho Barbudo do Pauzão Peludo Me Fudeu No Pelo Encheu Meu Cu de Leite 💦

Assista Esse e outros Vídeos Completos
100% #BA…",0.086,0.793,0.121,0.9977
82,"RT @Adilson_santos9: Soca sem dó🍆🍑

@Neguinhteusonho 

Adquiram meus conteúdos novos🎥👅🔥😈

https://t.co/lEPZShxBs9

Privacy👉🏾 https://t.co/x…",0.085,0.795,0.12,0.9977
83,RT @glennkirschner2: Poor Justice Alito. He’s  bellyaching about how hard it was on HIM when his draft opinion revoking women’s constitutio…,0.087,0.792,0.121,0.9977
84,RT @mhmdabw19201924: Requesting $SOL funds from the #Stakely Faucet on the Solana blockchain. Request ID: II5UWAVP #privacy https://t.co/sP…,0.086,0.794,0.119,0.9977
85,"RT @liinsSarah: 30min de foda no privacy com esse novinho, ele enchendo meu cuzinho de leitinho no final e a porra saindo com ele metendo 🤤…",0.088,0.794,0.118,0.9974
86,RT @Joanwestenberg: Crypto Privacy Is Humanitarian https://t.co/m2Q08OAssB,0.088,0.795,0.117,0.9974
87,"RT @JohnMagrinho: Soquei Piroca no Pelo e Leite no Rabão #GGW do Gordinho Gostoso 😋 

Assista Esse e Vários outros Vídeos
100% #BAREBACK no…",0.09,0.795,0.115,0.997
88,คือเอางี้นะ ทวิตเตอร์แยกไม่ออกหรอว่าจขทว.เขาไม่โอเคกับการละเมิด privacy เด็ก ไม่ใช่รำคาญ ถ้าโง่ขนาดนี้แนะนำให้ไปเรียนภาษาไทยใหม่ไม่ก็แดกสารหนูตายๆไปเถอะค่ะ https://t.co/2BbjcxhsfP,0.089,0.796,0.115,0.997
89,"RT @mikepompeo: As the former CIA Director and Secretary of State, I can tell you this: Tik Tok is a Trojan horse for the Chinese Communist…",0.088,0.799,0.113,0.997
90,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",0.088,0.794,0.118,0.9977
91,"RT @casalputariacps: Pornô amador de um casal safado comendo um cu gostoso...
Completo no Privacy🔞
Link na bio😈

#casalputariacps #cruising…",0.089,0.795,0.116,0.9975
92,"RT @sapph7c: Hawaii is an island with even smaller population than Qatar but when taehyung went there, nobody leaked pictures of him. he we…",0.089,0.796,0.114,0.9973
93,"RT @sapph7c: Hawaii is an island with even smaller population than Qatar but when taehyung went there, nobody leaked pictures of him. he we…",0.089,0.798,0.113,0.9971
94,@JENNIWOWW I feel like you should defend Angelina's privacy regarding her relationship and divorce. Everyone respected your privacy when you were going through yours.,0.088,0.797,0.115,0.9977
95,"RT @eviebl4ck: 🇧🇷

Posts diários lá no meu Privacy! Link nos comentários amor 💗 https://t.co/4mJZr2x3S6",0.089,0.795,0.117,0.9979
96,@TorontoStar @HeatherMallick I can see that this article is setting the scene for Trudeau's internet privacy bill.,0.088,0.796,0.116,0.9979
97,RT @LunaMyBabyPup: So seokjin is getting to know the city. Ppl saw him (they didn't say where to protect his privacy) walking around with s…,0.087,0.797,0.116,0.998
98,Free Dooplicator Airdrop @NtineChengeta @NilsGaillard @benji241 @Aminugambaki1 @GregoReales @knight_privacy @AbdsNft @charlen99315656 @Jjay_ohn @jorgedm12 @akirerdem7 @rudiger479 @Niicotina04 @medofloxin https://t.co/3Ihk5D8vbx,0.086,0.797,0.117,0.9982
99,RT @LittleBirbMame: @yamyummy ประทับใจความดักดานมาก Unicef UN บอกว่าพ่อแม่มีหน้าที่ที่จะปกป้อง Privacy ของลูก ส่วนดาราไทยละเมิด Privacy ลูก…,0.085,0.799,0.116,0.9982
100,"RT @JennyGlover40: This is my NO to self id. Women need same sex spaces for safety, privacy and dignity #NoToSelfID #ThisIsMyNo #nomeninwom…",0.086,0.796,0.118,0.9983
101,"@Changelly_team @PirateChain We all know that $ARRR is a solid stack-able privacy coin and the first choice for real Pirates. But besides that, what sets $ARRR apart from other privacy coins?",0.085,0.798,0.117,0.9984
102,"RT @HeatherThomasAF: Psst!
EVERYONE'S Medical Privacy is on the ballot.",0.084,0.799,0.117,0.9984
103,"RT @Kss_py: ฟคบางคน defend ให้ทุกอย่าง ยกเว้น privacy ของเด็ก บอกอย่าดราม่าใส่เด็ก ก็พ่อแม่เองไม่ใช่หรอที่หมุนสปอตไลท์ไปหาเค้า

ลูกตัวเองก็…",0.084,0.8,0.116,0.9984
104,RT @LittleBirbMame: คนที่สนับสนุนให้ทำแบบนี้คืออะไรอ่ะ เป็นการละเมิด Privacy ของมนุษย์คนนึง เอาชีวิตเค้ามาโชว์ให้ทุกคนดูแบบไม่ได้ขอ Consent…,0.083,0.801,0.116,0.9984
105,"@Changelly_team @PirateChain As we know blockchain trilemma in terms of privacy, interoperability and scalability. however, could you please tell me what are the challenges in various blockchains and how did you overcome them? Can you sure Pirate Chain solved &amp; fixed the most common blockchain problems?",0.083,0.8,0.117,0.9985
106,RT @LittleBirbMame: @yamyummy ประทับใจความดักดานมาก Unicef UN บอกว่าพ่อแม่มีหน้าที่ที่จะปกป้อง Privacy ของลูก ส่วนดาราไทยละเมิด Privacy ลูก…,0.083,0.801,0.117,0.9985
107,"RT @rodrigaobbc: Amo comer mulher casada 
E fazer o maridão de corno 
Ele olhando eu devorando a buceta da mulher dele 
😈🍆🔥

Vem ver como f…",0.082,0.803,0.115,0.9985
108,"RT @gst24cm: Vem cavalgar no teu agroboy dotadão bb… 🔥 
Site ➡️ https://t.co/mU6gDhg1XC
WhatsApp ➡️ https://t.co/T2IAmIVVef https://t.co/nZ…",0.082,0.803,0.114,0.9985
109,"RT @Adilson_santos9: Soca sem dó🍆🍑

@Neguinhteusonho 

Adquiram meus conteúdos novos🎥👅🔥😈

https://t.co/lEPZShxBs9

Privacy👉🏾 https://t.co/x…",0.082,0.804,0.114,0.9985
110,"@Jaderocknroll48 Hello  Gwen..how are you doing... ? I was searchin for my old friends when I stumbled across your profile. You look beautiful,  you worth talkin to. I'm so sorry for breakin into your privacy. can we be friends?.",0.082,0.802,0.116,0.9987
111,"RT @HeatherThomasAF: Psst!
EVERYONE'S Medical Privacy is on the ballot.",0.082,0.803,0.115,0.9987
112,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",0.082,0.8,0.118,0.9989
113,RT @bamignoredme: Omg so a korean fan saw Jinyoung at a cafe? And he was looking hot as always but she didn't want to invade his privacy &amp;…,0.081,0.8,0.119,0.9989
114,So why if I just glance at an IG live I gotta which one of my following watching it too? No privacy at all.,0.081,0.801,0.118,0.9989
115,RT @LittleBirbMame: @aungaung1124 ตอบให้ตรงคำถามก่อนค่ะว่าทำไมไม่เคารพสิทธิ์เด็ก Unicef ประกาศแล้วนะคะว่า Privacy เป็นสิทธิที่เด็กควรมี,0.081,0.802,0.117,0.9989
116,"RT @AnnaBrennet: Quartou amores 🌼
• Privacy atualizado com novo Pack Scat +10 min 🥵 novos assinantes ganham 15 min de chamada 🎥
• 3 Packs R…",0.08,0.803,0.116,0.9989
117,RT @bblivery: ดาราไทยส่วนใหญ่มันเคยสนใจ privacy เด็กซะที่ไหนอะ ยกเคสปุ้มปุ้ยปกป้องสิทธิลูกแทบตาย คนไทยรุมด่า พอเป็นบีมเปิดหน้าลูกให้ดูตั้งแ…,0.08,0.804,0.116,0.9989
118,RT @LittleBirbMame: คนที่สนับสนุนให้ทำแบบนี้คืออะไรอ่ะ เป็นการละเมิด Privacy ของมนุษย์คนนึง เอาชีวิตเค้ามาโชว์ให้ทุกคนดูแบบไม่ได้ขอ Consent…,0.08,0.805,0.116,0.9989
119,"RT @ch4padissim0s: 🎃 HALLOWEEN 🎃

🎃 Todos nossos packs do catálogo por apenas R$ 90 💸
São 50 fotos + 50min de vídeos 🎥

🦇 Ou cada pack por…",0.079,0.806,0.115,0.9989
120,"RT @sapph7c: Hawaii is an island with even smaller population than Qatar but when taehyung went there, nobody leaked pictures of him. he we…",0.079,0.807,0.113,0.9988
121,RT @bamignoredme: Omg so a korean fan saw Jinyoung at a cafe? And he was looking hot as always but she didn't want to invade his privacy &amp;…,0.078,0.808,0.114,0.9989
122,RT @babyxpal: ผู้ปกครองไทยไม่ค่อยเข้าใจ privacy ของลูกจนบางทีก้าวข้ามเส้นลูกตัวเองไป แต่ก็อยากให้ตัวเองเป็นcomfort zone ของลูก,0.078,0.808,0.114,0.9989
123,#GE agrees to settle class action lawsuit settlement for failing to prevent 2020 data breach. https://t.co/4m8ZVnt2hK #GeToo #geaviation #geaerospace #generalelectric,0.08,0.806,0.114,0.9988
124,RT @fadinhamaju: Da leitinho na minha cara?!🤭💦 https://t.co/5bp4BK7cmD https://t.co/xOUephFlu2,0.08,0.807,0.113,0.9988
125,"RT @ch4padissim0s: 🎃 HALLOWEEN 🎃

🎃 Todos nossos packs do catálogo por apenas R$ 90 💸
São 50 fotos + 50min de vídeos 🎥

🦇 Ou cada pack por…",0.079,0.809,0.112,0.9988
126,RT @LouizaAlcott: @Dane__Garcia I didn't hear her complaining about private citizens having to disclose their medical vaccine record to wai…,0.079,0.809,0.112,0.9989
127,"RT @rodrigaobbc: Aquela DP top 
Com a @goddess_vict 
Eu e a @BiancaferrazTS 
Socanos tudão nela.

that top DP

Vem conferir essa putaria go…",0.078,0.809,0.113,0.9989
128,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",0.078,0.806,0.116,0.9991
129,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",0.078,0.803,0.119,0.9992
130,"@orangedmike @ProofOfWorker Wenn man blockchain nicht verstanden hat...
Welche Methode empfiehlst du um no kyc coins zu bekommen?
Welches Level an privacy brauchen wir wirklich? Sogar beim solo Mining doxxd man zumindest die IP",0.08,0.803,0.117,0.9991
131,RT @bblivery: ดาราไทยส่วนใหญ่มันเคยสนใจ privacy เด็กซะที่ไหนอะ ยกเคสปุ้มปุ้ยปกป้องสิทธิลูกแทบตาย คนไทยรุมด่า พอเป็นบีมเปิดหน้าลูกให้ดูตั้งแ…,0.08,0.804,0.116,0.9991
132,RT @glennkirschner2: Poor Justice Alito. He’s  bellyaching about how hard it was on HIM when his draft opinion revoking women’s constitutio…,0.081,0.802,0.117,0.9991
133,RT @LittleBirbMame: @aungaung1124 ตอบให้ตรงคำถามก่อนค่ะว่าทำไมไม่เคารพสิทธิ์เด็ก Unicef ประกาศแล้วนะคะว่า Privacy เป็นสิทธิที่เด็กควรมี,0.081,0.802,0.117,0.9991
134,"RT @sapph7c: Hawaii is an island with even smaller population than Qatar but when taehyung went there, nobody leaked pictures of him. he we…",0.081,0.803,0.115,0.999
135,RT @LittleBirbMame: @yamyummy ประทับใจความดักดานมาก Unicef UN บอกว่าพ่อแม่มีหน้าที่ที่จะปกป้อง Privacy ของลูก ส่วนดาราไทยละเมิด Privacy ลูก…,0.081,0.804,0.115,0.999
136,"RT @sapph7c: Hawaii is an island with even smaller population than Qatar but when taehyung went there, nobody leaked pictures of him. he we…",0.081,0.805,0.114,0.999
137,RT @glennkirschner2: Poor Justice Alito. He’s  bellyaching about how hard it was on HIM when his draft opinion revoking women’s constitutio…,0.082,0.803,0.114,0.999
138,"RT @honeymoonluve: 🇧🇷 Gosta da visão?
set desse dia com muita buceta e cuzinho lá no Privacy

🇺🇸 Do you like this view?
set of this day wit…",0.083,0.803,0.114,0.999
139,"RT @Garoto_dopai: Fui la hehe
Era pra ser só um beijo no pau dele e acabei levando leite na cara. Vou colocar no privacy
https://t.co/DOKE9…",0.084,0.803,0.113,0.9989
140,"@bhandari_bittu In the future, please ensure that you share your details via DM for the privacy of your Flipkart account by clicking the link below link. ^HA (2/2) https://t.co/5DoqNu396t",0.083,0.802,0.115,0.999
141,"RT @Defi_Eagle: 🌐 Gamified blockchain testing engine, @TriathonLab &amp; @TusimaNetwork announced Ecological Partnership.

🌐#Tusima is a zk-rol…",0.082,0.803,0.114,0.999
142,RT @bblivery: ดาราไทยส่วนใหญ่มันเคยสนใจ privacy เด็กซะที่ไหนอะ ยกเคสปุ้มปุ้ยปกป้องสิทธิลูกแทบตาย คนไทยรุมด่า พอเป็นบีมเปิดหน้าลูกให้ดูตั้งแ…,0.082,0.804,0.114,0.999
143,"RT @mikepompeo: As the former CIA Director and Secretary of State, I can tell you this: Tik Tok is a Trojan horse for the Chinese Communist…",0.081,0.806,0.113,0.999
144,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",0.082,0.803,0.116,0.9992
